metric,own_(%),Bank
Sở hữu tối đa NN,30.0,ACB
Sở hữu hiện tại NN,30.0,ACB
Room NN còn lại,0.0,ACB
Sở hữu tối đa NN,30.0,BID
Sở hữu hiện tại NN,17.3,BID
Room NN còn lại,12.7,BID
Sở hữu tối đa NN,30.0,CTG
Sở hữu hiện tại NN,28.1,CTG
Room NN còn lại,1.9,CTG
Sở hữu tối đa NN,25.0,EIB
Sở hữu hiện tại NN,6.8,EIB
Room NN còn lại,18.2,EIB
Sở hữu tối đa NN,20.0,HDB
Sở hữu hiện tại NN,18.9,HDB
Room NN còn lại,1.1,HDB
Sở hữu tối đa NN,5.0,LPB
Sở hữu hiện tại NN,4.9,LPB
Room NN còn lại,0.1,LPB
Sở hữu tối đa NN,23.0,MBB
Sở hữu hiện tại NN,23.2,MBB
Room NN còn lại,0.0,MBB
Sở hữu tối đa NN,30.0,MSB
Sở hữu hiện tại NN,30.0,MSB
Room NN còn lại,0.0,MSB
Sở hữu tối đa NN,22.0,OCB
Sở hữu hiện tại NN,21.4,OCB
Room NN còn lại,0.6,OCB
Sở hữu tối đa NN,30.0,STB
Sở hữu hiện tại NN,29.1,STB
Room NN còn lại,0.9,STB
Sở hữu tối đa NN,5.0,SSB
Sở hữu hiện tại NN,0.2,SSB
Room NN còn lại,4.8,SSB
Sở hữu tối đa NN,22.0,TCB
Sở hữu hiện tại NN,22.5,TCB
Room NN còn lại,0.0,TCB
Sở hữu tối đa NN,30.0,TPB
Sở hữu hiện tại NN,30.0,TPB
Room NN còn lại,0.0,TPB
Sở hữu tối đa NN,30.0,VCB
Sở hữu hiện tại NN,23.6,VCB
Room NN còn lại,6.4,VCB
Sở hữu tối đa NN,20.0,VIB
Sở hữu hiện tại NN,20.5,VIB
Room NN còn lại,0.0,VIB
Sở hữu tối đa NN,18.0,VPB
Sở hữu hiện tại NN,17.6,VPB
Room NN còn lại,0.0,VPB
